country,year,co2emissions
Nicaragua,2021,4496617.5
Nicaragua,2022,5222878.0
Nicaragua,2023,4205065.5
Nicaragua,2024,5090381.5
Nicaragua,2025,5096573.5
Nicaragua,2026,5154377.0
Nicaragua,2027,5012159.0
Nicaragua,2028,5045437.0
Nicaragua,2029,5073904.5
Nicaragua,2030,4766141.0
Niger,2021,727845.7
Niger,2022,723447.5
Niger,2023,761636.75
Niger,2024,696095.3
Niger,2025,720621.06
Niger,2026,786213.2
Niger,2027,772207.5
Niger,2028,638070.0
Niger,2029,850892.7
Niger,2030,829370.9
Nigeria,2021,127748690.0
Nigeria,2022,129179976.0
Nigeria,2023,127764120.0
Nigeria,2024,134120010.0
Nigeria,2025,135534080.0
Nigeria,2026,136263250.0
Nigeria,2027,140510720.0
Nigeria,2028,141425010.0
